Date,Amount,lag_1,lag_2,lag_3,rolling_mean_7,rolling_std_7
2023-12-14,90.0,160.0,60.0,90.0,180.0,105.03967504392374
2023-12-14,50.0,90.0,160.0,60.0,144.28571428571428,99.8093420572669
2023-12-14,50.0,50.0,90.0,160.0,114.28571428571429,90.34326074425526
2023-12-14,30.0,50.0,50.0,90.0,75.71428571428571,43.14979445958547
2023-12-14,60.0,30.0,50.0,50.0,71.42857142857143,42.98393941484141
2023-12-14,160.0,60.0,30.0,50.0,85.71428571428571,53.807416730761304
2023-12-14,90.0,160.0,60.0,30.0,75.71428571428571,43.14979445958548
2023-12-14,300.0,90.0,160.0,60.0,105.71428571428571,95.71783930858703
2023-12-14,130.0,300.0,90.0,160.0,117.14285714285714,92.68482179125083
2023-12-14,30.0,130.0,300.0,90.0,114.28571428571429,95.36895771286288
2023-12-14,60.0,30.0,130.0,300.0,118.57142857142857,91.54754164341125
2023-12-14,160.0,60.0,30.0,130.0,132.85714285714286,88.64052604279038
2023-12-14,90.0,160.0,60.0,30.0,122.85714285714286,89.01578244226842
2023-12-14,350.0,90.0,160.0,60.0,160.0,121.38094304021982
2023-12-14,40.0,350.0,90.0,160.0,122.85714285714286,110.71198154284204
2023-12-12,130.0,40.0,350.0,90.0,122.85714285714286,110.71198154284204
2023-12-12,320.0,130.0,40.0,350.0,164.28571428571428,123.67391841143328
2023-12-12,380.0,320.0,130.0,40.0,210.0,137.11309200802006
2023-12-12,100.0,380.0,320.0,130.0,201.42857142857142,142.52819269984968
2023-12-12,50.0,100.0,380.0,320.0,195.71428571428572,148.42025275740235
2023-12-12,160.0,50.0,100.0,380.0,168.57142857142858,131.96319833304085
2023-12-12,60.0,160.0,50.0,100.0,171.42857142857142,128.8964146680794
2023-12-12,220.0,60.0,160.0,50.0,184.28571428571428,128.5634918185221
2023-12-12,90.0,220.0,60.0,160.0,151.42857142857142,116.96560340951578
2023-12-12,160.0,90.0,220.0,60.0,120.0,61.91391873668688
2023-12-12,70.0,160.0,90.0,220.0,115.71428571428571,64.5128263363534
2023-12-12,160.0,70.0,160.0,90.0,131.42857142857142,58.99959644736665
2023-12-12,90.0,160.0,70.0,160.0,121.42857142857143,59.281411203558974
2023-12-12,110.0,90.0,160.0,70.0,128.57142857142858,53.36308693862064
2023-12-12,130.0,110.0,90.0,160.0,115.71428571428571,35.52329886010718
2023-12-12,160.0,130.0,110.0,90.0,125.71428571428571,36.90399384761082
2023-12-12,60.0,160.0,130.0,110.0,111.42857142857143,40.59087394499872
2023-12-12,150.0,60.0,160.0,130.0,122.85714285714286,38.17254061681763
2023-12-12,16.0,150.0,60.0,160.0,102.28571428571429,51.34755523460833
2023-12-12,50.0,16.0,150.0,60.0,96.57142857142857,55.03591900706395
2023-12-12,260.0,50.0,16.0,150.0,118.0,83.15447472425281
2023-12-12,90.0,260.0,50.0,16.0,112.28571428571429,83.56577107427314
2023-12-12,160.0,90.0,260.0,50.0,112.28571428571429,83.56577107427314
2023-12-12,90.0,160.0,90.0,260.0,116.57142857142857,81.17236217427772
2023-12-12,160.0,90.0,160.0,90.0,118.0,81.94306966831545
2023-12-12,60.0,160.0,90.0,160.0,124.28571428571429,74.12987316350832
2023-12-12,2.35,60.0,160.0,90.0,117.47857142857143,83.66303373823739
2023-12-12,204.1,2.35,60.0,160.0,109.49285714285715,69.21167067151742
2023-12-12,33.35,204.1,2.35,60.0,101.39999999999999,74.94535231308915
2023-12-12,40.6,33.35,204.1,2.35,84.34285714285714,72.94620408544851
2023-12-12,30.1,40.6,33.35,204.1,75.78571428571429,75.63575385956348
2023-12-12,8.0,30.1,40.6,33.35,54.07142857142857,68.95274865890951
2023-12-12,90.0,8.0,30.1,40.6,58.357142857142854,70.30176875780504
2023-12-12,160.0,90.0,8.0,30.1,80.87857142857142,74.49608410929235
2023-12-12,60.0,160.0,90.0,8.0,60.292857142857144,50.964026762111594
2023-12-12,80.0,60.0,160.0,90.0,66.95714285714286,49.89247963179652
2023-12-12,140.0,80.0,60.0,160.0,81.15714285714286,55.02217301969487
2023-12-12,60.0,140.0,80.0,60.0,85.42857142857143,51.442061722732596
2023-12-11,204.1,60.0,140.0,80.0,113.44285714285715,55.485489308550335
2023-12-11,229.95,204.1,60.0,140.0,133.43571428571428,69.15945774250861
2023-12-11,229.95,229.95,204.1,60.0,143.42857142857142,78.1115967550196
2023-12-11,98.35,229.95,229.95,204.1,148.90714285714284,72.42257606443773
2023-12-11,37.95,98.35,229.95,229.95,142.9,80.39576066766875
2023-12-11,54.2,37.95,98.35,229.95,130.64285714285714,87.16697304871798
2023-12-11,57.75,54.2,37.95,98.35,130.32142857142858,87.4744908394372
2023-12-11,90.0,57.75,54.2,37.95,114.02142857142857,81.8875542901287
2023-12-11,160.0,90.0,57.75,54.2,104.02857142857144,68.5675145212277
2023-12-11,60.0,160.0,90.0,57.75,79.75,41.16064058458086
2023-12-11,90.0,60.0,160.0,90.0,78.55714285714285,40.64958413656777
2023-12-11,160.0,90.0,60.0,160.0,95.99285714285715,46.13440896419841
2023-12-11,60.0,160.0,90.0,60.0,96.82142857142857,45.30330982336832
2023-12-11,130.0,60.0,160.0,90.0,107.14285714285714,43.09458036856355
2023-12-11,110.0,130.0,60.0,160.0,110.0,42.426406871189634
2023-12-11,30.0,110.0,130.0,60.0,91.42857142857143,45.2506248312525
2023-12-11,100.0,30.0,110.0,130.0,97.14285714285714,43.0945803685635
2023-12-11,160.0,100.0,30.0,110.0,107.14285714285714,48.892496259404844
2023-12-11,30.0,160.0,100.0,30.0,88.57142857142857,50.142653642237875
2023-12-08,50.0,30.0,160.0,100.0,87.14285714285714,51.223134654267696
2023-12-08,30.0,50.0,30.0,160.0,72.85714285714286,51.223134654267625
2023-12-08,260.0,30.0,50.0,30.0,94.28571428571429,87.72250620700378
2023-12-08,260.0,260.0,30.0,50.0,127.14285714285714,101.60614904526824
2023-12-08,300.0,260.0,260.0,30.0,155.71428571428572,119.28357568655956
2023-12-08,300.0,300.0,260.0,260.0,175.71428571428572,131.25765283811526
2023-12-08,160.0,300.0,300.0,260.0,194.28571428571428,115.44943234408389
2023-12-08,90.0,160.0,300.0,300.0,200.0,107.85793124908854
2023-12-08,60.0,90.0,160.0,300.0,204.28571428571428,100.30904626156376
2023-12-08,1800.0,60.0,90.0,160.0,424.2857142857143,614.3792841249651
2023-12-08,46.0,1800.0,60.0,90.0,393.7142857142857,629.0653686980694
2023-12-08,94.35,46.0,1800.0,60.0,364.3357142857143,638.8967487749785
2023-12-08,36.35,94.35,46.0,1800.0,326.6714285714285,650.9787105179545
2023-12-08,162.8,36.35,94.35,46.0,327.07142857142856,650.8600783176204
2023-12-08,300.0,162.8,36.35,94.35,357.07142857142856,642.9026687980218
2023-12-08,260.0,300.0,162.8,36.35,385.64285714285717,631.8491634537017
2023-12-08,300.0,260.0,300.0,162.8,171.35714285714286,116.11789421593318
2023-12-08,90.0,300.0,260.0,300.0,177.64285714285714,109.18500518451538
2023-12-08,50.0,90.0,300.0,260.0,171.30714285714288,115.90384099391464
2023-12-08,160.0,50.0,90.0,300.0,188.97142857142856,100.27664590663925
2023-12-08,60.0,160.0,50.0,90.0,174.28571428571428,111.63290178932264
2023-12-08,50.0,60.0,160.0,50.0,138.57142857142858,104.4714588501831
2023-12-08,230.0,50.0,60.0,160.0,134.28571428571428,99.13915184512733
2023-12-08,10.0,230.0,50.0,60.0,92.85714285714286,76.31388814501133
2023-12-08,50.0,10.0,230.0,50.0,87.14285714285714,78.04150299985238
2023-12-08,50.0,50.0,10.0,230.0,87.14285714285714,78.04150299985238
2023-12-08,50.0,50.0,50.0,10.0,71.42857142857143,71.74690967295263
2023-12-08,140.0,50.0,50.0,50.0,82.85714285714286,75.87583842793853
2023-12-08,1800.0,140.0,50.0,50.0,332.85714285714283,651.2222939906741
2023-12-08,100.0,1800.0,140.0,50.0,314.2857142857143,656.4768882161081
2023-12-08,50.0,100.0,1800.0,140.0,320.0,653.554384373124
2023-12-08,220.0,50.0,100.0,1800.0,344.2857142857143,644.951087108088
2023-12-08,90.0,220.0,50.0,100.0,350.0,642.0799534845069
2023-12-08,160.0,90.0,220.0,50.0,365.7142857142857,634.8190593352076
2023-12-08,230.0,160.0,90.0,220.0,378.57142857142856,630.3815926730033
2023-12-08,15.0,230.0,160.0,90.0,123.57142857142857,82.49819622847674
2023-12-08,100.0,15.0,230.0,160.0,123.57142857142857,82.49819622847674
2023-12-08,50.0,100.0,15.0,230.0,123.57142857142857,82.49819622847674
2023-12-08,50.0,50.0,100.0,15.0,99.28571428571429,73.96105796456652
2023-12-08,50.0,50.0,50.0,100.0,93.57142857142857,76.30608788044975
2023-12-08,50.0,50.0,50.0,50.0,77.85714285714286,71.5225572143227
2023-12-08,650.0,50.0,50.0,50.0,137.85714285714286,227.1903963429706
2023-12-08,450.0,650.0,50.0,50.0,200.0,246.64414311581208
2023-12-08,260.0,450.0,650.0,50.0,222.85714285714286,243.2224143806296
2023-12-08,250.0,260.0,450.0,650.0,251.42857142857142,230.97103508366348
2023-12-08,100.0,250.0,260.0,450.0,258.57142857142856,224.38275122571005
2023-12-08,70.0,100.0,250.0,260.0,261.42857142857144,221.39170199961325
2023-12-08,100.0,70.0,100.0,250.0,268.57142857142856,214.12057128547664
2023-12-08,50.0,100.0,70.0,100.0,182.85714285714286,144.88090347066458
2023-12-08,150.0,50.0,100.0,70.0,140.0,84.45906306213188
2023-12-08,130.0,150.0,50.0,100.0,121.42857142857143,65.936477367379
2023-12-08,60.0,130.0,150.0,50.0,94.28571428571429,36.90399384761214
2023-12-08,160.0,60.0,130.0,150.0,102.85714285714286,44.61475305855703
2023-12-08,110.0,160.0,60.0,130.0,108.57142857142857,42.20133150686379
2023-12-07,0.0,110.0,160.0,60.0,94.28571428571429,59.12053869204786
2023-12-07,160.0,0.0,110.0,160.0,110.0,59.99999999999861
2023-12-07,90.0,160.0,0.0,110.0,101.42857142857143,57.5698333703125
2023-12-07,220.0,90.0,160.0,0.0,114.28571428571429,72.99706452023437
2023-12-07,350.0,220.0,90.0,160.0,155.71428571428572,109.97835284835796
2023-12-07,350.0,350.0,220.0,90.0,182.85714285714286,132.3775265058588
2023-12-07,50.0,350.0,350.0,220.0,174.28571428571428,139.62534904249273
2023-12-07,40.0,50.0,350.0,350.0,180.0,131.90905958272853
2023-12-07,30.0,40.0,50.0,350.0,161.42857142857142,143.808735412534
2023-12-07,30.0,30.0,40.0,50.0,152.85714285714286,150.41213223609773
2023-12-07,160.0,30.0,30.0,40.0,144.28571428571428,147.63210387730007
2023-12-07,90.0,160.0,30.0,30.0,107.14285714285714,116.72107574816704
2023-12-07,60.0,90.0,160.0,30.0,65.71428571428571,46.49628761422337
2023-12-07,100.0,60.0,90.0,160.0,72.85714285714286,47.50939756661494
2023-12-07,30.0,100.0,60.0,90.0,71.42857142857143,48.795003647424814
2023-12-07,30.0,30.0,100.0,60.0,71.42857142857143,48.795003647424814
2023-12-07,100.0,30.0,30.0,100.0,81.42857142857143,45.98136268408686
2023-12-07,40.0,100.0,30.0,30.0,64.28571428571429,32.07134902948811
2023-12-07,160.0,40.0,100.0,30.0,74.28571428571429,48.255273583011096
2023-12-07,90.0,160.0,40.0,100.0,78.57142857142857,48.10702354423453
2023-12-07,160.0,90.0,160.0,40.0,87.14285714285714,57.07138387267895
2023-12-05,10.0,160.0,90.0,160.0,84.28571428571429,60.788470084695476
2023-12-05,10.0,10.0,160.0,90.0,81.42857142857143,64.14269805898046
2023-12-05,100.0,10.0,10.0,160.0,81.42857142857143,64.14269805898046
2023-12-05,300.0,100.0,10.0,10.0,118.57142857142857,100.90070555230129
